image,timestamp,input_rate,confidence,absolute_time_from_start,cpu_utility,detection_boxes,model_processing_time,image_processing_time,utility,model,var_rate
231,2024-11-23T14:19:55.622776,1,0.9525269865989684,130.7744390964508,20.1,1,0.2865676879882812,0.3615553379058838,0.6570411622524261,yolov5l,0.1
231,2024-11-23T14:19:55.622776,1,0.9525269865989684,130.7744390964508,20.1,1,0.2865676879882812,0.3615553379058838,0.6570411622524261,yolov5l,0.1
231,2024-11-23T14:19:55.622776,1,0.9525269865989684,130.7744390964508,20.1,1,0.2865676879882812,0.3615553379058838,0.6570411622524261,yolov5l,0.1
232,2024-11-23T14:20:00.272168,1,0.90681391954422,135.42382740974426,20.0,1,0.3981029987335205,1.0085721015930176,0.4491209089756012,yolov5l,0.1
232,2024-11-23T14:20:00.272168,1,0.90681391954422,135.42382740974426,20.0,1,0.3981029987335205,1.0085721015930176,0.4491209089756012,yolov5l,0.1
232,2024-11-23T14:20:00.272168,1,0.90681391954422,135.42382740974426,20.0,1,0.3981029987335205,1.0085721015930176,0.4491209089756012,yolov5l,0.1
233,2024-11-23T14:20:04.336771,1,0.9399075508117676,139.48843240737915,21.0,1,0.4051134586334228,1.070014476776123,0.4349465370178222,yolov5l,0.1
233,2024-11-23T14:20:04.336771,1,0.9399075508117676,139.48843240737915,21.0,1,0.4051134586334228,1.070014476776123,0.4349465370178222,yolov5l,0.1
233,2024-11-23T14:20:04.336771,1,0.9399075508117676,139.48843240737915,21.0,1,0.4051134586334228,1.070014476776123,0.4349465370178222,yolov5l,0.1
233,2024-11-23T14:20:04.336771,1,0.9399075508117676,139.48843240737915,21.0,1,0.4051134586334228,1.070014476776123,0.4349465370178222,yolov5l,0.1
234,2024-11-23T14:20:08.503692,1,0.9060998558998108,143.655353307724,21.1,1,0.4409608840942383,1.2290136814117432,0.3385430872440338,yolov5l,0.1
234,2024-11-23T14:20:08.503692,1,0.9060998558998108,143.655353307724,21.1,1,0.4409608840942383,1.2290136814117432,0.3385430872440338,yolov5l,0.1
234,2024-11-23T14:20:08.503692,1,0.9060998558998108,143.655353307724,21.1,1,0.4409608840942383,1.2290136814117432,0.3385430872440338,yolov5l,0.1
235,2024-11-23T14:20:12.344970,1,0.9385353922843932,147.49663019180298,20.8,1,0.4255454540252685,1.0774333477020264,0.4305510222911834,yolov5l,0.1
235,2024-11-23T14:20:12.344970,1,0.9385353922843932,147.49663019180298,20.8,1,0.4255454540252685,1.0774333477020264,0.4305510222911834,yolov5l,0.1
235,2024-11-23T14:20:12.344970,1,0.9385353922843932,147.49663019180298,20.8,1,0.4255454540252685,1.0774333477020264,0.4305510222911834,yolov5l,0.1
235,2024-11-23T14:20:12.344970,1,0.9385353922843932,147.49663019180298,20.8,1,0.4255454540252685,1.0774333477020264,0.4305510222911834,yolov5l,0.1
236,2024-11-23T14:20:16.044821,1,0.7822777926921844,151.19648504257202,19.6,2,0.2376332283020019,0.7802698612213135,0.781273826956749,yolov5l,0.1
236,2024-11-23T14:20:16.044821,1,0.7822777926921844,151.19648504257202,19.6,2,0.2376332283020019,0.7802698612213135,0.781273826956749,yolov5l,0.1
237,2024-11-23T14:20:19.480430,1,0.3980498015880584,154.6320834159851,20.2,1,0.2038159370422363,0.2155778408050537,0.056813821196556,yolov5l,0.1
237,2024-11-23T14:20:19.480430,1,0.3980498015880584,154.6320834159851,20.2,1,0.2038159370422363,0.2155778408050537,0.056813821196556,yolov5l,0.1
237,2024-11-23T14:20:19.480430,1,0.3980498015880584,154.6320834159851,20.2,1,0.2038159370422363,0.2155778408050537,0.056813821196556,yolov5l,0.1
237,2024-11-23T14:20:19.480430,1,0.3980498015880584,154.6320834159851,20.2,1,0.2038159370422363,0.2155778408050537,0.056813821196556,yolov5l,0.1
237,2024-11-23T14:20:19.480430,1,0.3980498015880584,154.6320834159851,20.2,1,0.2038159370422363,0.2155778408050537,0.056813821196556,yolov5l,0.1
238,2024-11-23T14:20:24.574705,1,0.9302165508270264,159.72636032104492,19.9,1,0.4782657623291015,1.2963385581970217,0.3169389963150024,yolov5l,0.1
238,2024-11-23T14:20:24.574705,1,0.9302165508270264,159.72636032104492,19.9,1,0.4782657623291015,1.2963385581970217,0.3169389963150024,yolov5l,0.1
238,2024-11-23T14:20:24.574705,1,0.9302165508270264,159.72636032104492,19.9,1,0.4782657623291015,1.2963385581970217,0.3169389963150024,yolov5l,0.1
239,2024-11-23T14:20:28.446153,1,0.4470231831073761,163.59781622886658,19.7,1,0.353980541229248,1.168140172958374,-0.1105584949254989,yolov5l,0.1
239,2024-11-23T14:20:28.446153,1,0.4470231831073761,163.59781622886658,19.7,1,0.353980541229248,1.168140172958374,-0.1105584949254989,yolov5l,0.1
239,2024-11-23T14:20:28.446153,1,0.4470231831073761,163.59781622886658,19.7,1,0.353980541229248,1.168140172958374,-0.1105584949254989,yolov5l,0.1
240,2024-11-23T14:20:31.601780,1,0.7820740938186646,166.75344014167786,19.7,1,0.2651443481445312,0.3337893486022949,0.5579317212104797,yolov5l,0.1
240,2024-11-23T14:20:31.601780,1,0.7820740938186646,166.75344014167786,19.7,1,0.2651443481445312,0.3337893486022949,0.5579317212104797,yolov5l,0.1
240,2024-11-23T14:20:31.601780,1,0.7820740938186646,166.75344014167786,19.7,1,0.2651443481445312,0.3337893486022949,0.5579317212104797,yolov5l,0.1
240,2024-11-23T14:20:31.601780,1,0.7820740938186646,166.75344014167786,19.7,1,0.2651443481445312,0.3337893486022949,0.5579317212104797,yolov5l,0.1
241,2024-11-23T14:20:36.121201,1,0.855278730392456,171.27285957336426,20.7,1,0.2629880905151367,0.8507137298583984,0.8529962301254272,yolov5l,0.1
241,2024-11-23T14:20:36.121201,1,0.855278730392456,171.27285957336426,20.7,1,0.2629880905151367,0.8507137298583984,0.8529962301254272,yolov5l,0.1
241,2024-11-23T14:20:36.121201,1,0.855278730392456,171.27285957336426,20.7,1,0.2629880905151367,0.8507137298583984,0.8529962301254272,yolov5l,0.1
241,2024-11-23T14:20:36.121201,1,0.855278730392456,171.27285957336426,20.7,1,0.2629880905151367,0.8507137298583984,0.8529962301254272,yolov5l,0.1
242,2024-11-23T14:20:40.303658,1,0.9415255784988404,175.45532178878784,20.1,1,0.4190800189971924,1.0324058532714844,0.454559862613678,yolov5l,0.1
242,2024-11-23T14:20:40.303658,1,0.9415255784988404,175.45532178878784,20.1,1,0.4190800189971924,1.0324058532714844,0.454559862613678,yolov5l,0.1
242,2024-11-23T14:20:40.303658,1,0.9415255784988404,175.45532178878784,20.1,1,0.4190800189971924,1.0324058532714844,0.454559862613678,yolov5l,0.1
243,2024-11-23T14:20:44.490233,1,0.7485507726669312,179.6418972015381,20.0,1,0.4555637836456299,1.210350751876831,0.26910001039505,yolov5l,0.1
243,2024-11-23T14:20:44.490233,1,0.7485507726669312,179.6418972015381,20.0,1,0.4555637836456299,1.210350751876831,0.26910001039505,yolov5l,0.1
243,2024-11-23T14:20:44.490233,1,0.7485507726669312,179.6418972015381,20.0,1,0.4555637836456299,1.210350751876831,0.26910001039505,yolov5l,0.1
244,2024-11-23T14:20:47.489076,1,0.9540879130363464,182.6407256126404,18.8,1,0.1569142341613769,0.2183911800384521,0.5862395465373993,yolov5l,0.1
244,2024-11-23T14:20:47.489076,1,0.9540879130363464,182.6407256126404,18.8,1,0.1569142341613769,0.2183911800384521,0.5862395465373993,yolov5l,0.1
244,2024-11-23T14:20:47.489076,1,0.9540879130363464,182.6407256126404,18.8,1,0.1569142341613769,0.2183911800384521,0.5862395465373993,yolov5l,0.1
244,2024-11-23T14:20:47.489076,1,0.9540879130363464,182.6407256126404,18.8,1,0.1569142341613769,0.2183911800384521,0.5862395465373993,yolov5l,0.1
245,2024-11-23T14:20:52.340511,1,0.4906408786773681,187.4921722412109,20.7,1,0.3845596313476562,1.061962366104126,-0.0356607437133789,yolov5l,0.1
245,2024-11-23T14:20:52.340511,1,0.4906408786773681,187.4921722412109,20.7,1,0.3845596313476562,1.061962366104126,-0.0356607437133789,yolov5l,0.1
245,2024-11-23T14:20:52.340511,1,0.4906408786773681,187.4921722412109,20.7,1,0.3845596313476562,1.061962366104126,-0.0356607437133789,yolov5l,0.1
245,2024-11-23T14:20:52.340511,1,0.4906408786773681,187.4921722412109,20.7,1,0.3845596313476562,1.061962366104126,-0.0356607437133789,yolov5l,0.1
246,2024-11-23T14:20:56.224369,1,0.9327064752578736,191.3760290145874,20.5,1,0.3567960262298584,0.9498450756072998,0.9412757754325868,yolov5l,0.1
246,2024-11-23T14:20:56.224369,1,0.9327064752578736,191.3760290145874,20.5,1,0.3567960262298584,0.9498450756072998,0.9412757754325868,yolov5l,0.1
246,2024-11-23T14:20:56.224369,1,0.9327064752578736,191.3760290145874,20.5,1,0.3567960262298584,0.9498450756072998,0.9412757754325868,yolov5l,0.1
247,2024-11-23T14:21:00.319056,1,0.9341406226158142,195.47070956230164,21.1,1,0.3389768600463867,1.039444923400879,0.4473478496074676,yolov5l,0.1
247,2024-11-23T14:21:00.319056,1,0.9341406226158142,195.47070956230164,21.1,1,0.3389768600463867,1.039444923400879,0.4473478496074676,yolov5l,0.1
247,2024-11-23T14:21:00.319056,1,0.9341406226158142,195.47070956230164,21.1,1,0.3389768600463867,1.039444923400879,0.4473478496074676,yolov5l,0.1
247,2024-11-23T14:21:00.319056,1,0.9341406226158142,195.47070956230164,21.1,1,0.3389768600463867,1.039444923400879,0.4473478496074676,yolov5l,0.1
248,2024-11-23T14:21:04.374585,1,0.6985853910446167,199.52624654769895,20.1,1,0.3979735374450683,1.0948588848114014,0.3018632531166076,yolov5l,0.1
